Franchise,Films,Mean [$],Total [$]
Star Trek: The Next Generation,4,113828206.0,455312826.0
Star Trek: The Original Series,6,103816667.0,622900000.0
Star Wars,8,929311849.0,7434494790.0
Star Wars: The Ewok Adventures,2,0.0,0.0
Star Wreck,1,0.0,0.0
Stargate SG-1,3,2966667.0,8900000.0
Starship Troopers,4,30303594.0,121214377.0
State Property,2,1899272.0,3798544.0
Steal This Film,2,0.0,0.0
Step Up,5,130187950.0,650939748.0
Stepford,2,0.0,0.0
Stir of Echoes,2,10566544.0,21133087.0
Stomp the Yard,1,75511123.0,75511123.0
Stray Cat Rock,2,0.0,0.0
Street Fighter,2,56093861.0,112187722.0
Street Fighter,4,0.0,0.0
Street Kings,2,32784934.0,65569869.0
StreetDance,3,6065826.0,18197477.0
Stuart Little,3,156697391.0,470092173.0
Subspecies,5,0.0,0.0
Sugata Sanshirō,2,0.0,0.0
Sunes samtliga Resor,2,0.0,0.0
Super Giant,3,0.0,0.0
Super Size Me,1,28575078.0,28575078.0
Super Troopers,1,18492362.0,18492362.0
Superman (DC Universe Animated),1,0.0,0.0
Superman / Batman (Animated),2,0.0,0.0
Superman,5,195381708.0,976908540.0
Surf's Up,1,149044513.0,149044513.0
Swamp Thing,2,96408.0,192816.0
Swan Princess Series,4,2511326.0,10045302.0
Swordsman,1,0.0,0.0
Sällskapsresorna,6,2276086.0,13656519.0
Síť (kolekce),2,55313982.0,110627965.0
TRON,2,216531382.0,433062763.0
Tada's Do-It-All,1,0.0,0.0
Tai Chi,2,0.0,0.0
Tainá,1,0.0,0.0
Takashi Miike's Black Society Trilogy,1,0.0,0.0
Takashi Miike's Young Thugs series,1,0.0,0.0
Taken,3,309581099.0,928743298.0
Tales From The Dark,1,0.0,0.0
Tales from the Crypt,5,1120000.0,5600000.0
Tales of the Four Seasons,4,0.0,0.0
Tangled,2,295897468.0,591794936.0
Tanu Weds Manu,2,126000.0,252000.0
Tarzan (Animation),3,149333333.0,448000000.0
Tarzan (Gordon Scott series),2,0.0,0.0
Tarzan (Johnny Weissmuller series),8,0.0,0.0
Tarzan (Lex Barker series),2,0.0,0.0
Tarzan (Mike Henry series),1,0.0,0.0
Taxi,4,31622906.0,126491626.0
Ted,2,383195452.0,766390903.0
Teen Beach,2,0.0,0.0
Teen Titans,2,0.0,0.0
Teen Wolf,2,0.0,0.0
Teenage Apocalypse Trilogy,3,9118.0,27354.0
Teenage Mutant Ninja Turtles (Original),3,107333333.0,322000000.0
Teenage Mutant Ninja Turtles (Remake),2,361411924.0,722823848.0
TekWar,4,0.0,0.0
Tekken,3,322333.0,967000.0
Ten Minutes Older... (Collection),2,0.0,0.0
Tenchi Muyô,3,0.0,0.0
Tengen Toppa Gurren Lagann,2,0.0,0.0
Tere Bin Laden,1,0.0,0.0
Tetsuo,3,0.0,0.0
Texas Chainsaw (Reboot),2,53535828.0,107071655.0
Texas Chainsaw Massacre,6,15346380.0,92078277.0
That's Entertainment,3,0.0,0.0
The 1997 Trilogy,1,0.0,0.0
The 36th Chamber of Shaolin,3,0.0,0.0
The ABCs of Death,3,9610.0,28831.0
The Adventures of Antoine Doinel,5,0.0,0.0
The Adventures of Erast Fandorin,3,0.0,0.0
The Adventures of Mickey Matson,1,0.0,0.0
The Amazing Colossal Man Duology,2,0.0,0.0
The Amazing Spider-Man,2,728966644.0,1457933289.0
The Amityville Horror,12,17778924.0,213347083.0
The Angel,2,0.0,0.0
The Angrez,1,300000.0,300000.0
The Apple Dumpling Gang,2,0.0,0.0
The Apu,3,240860.0,722579.0
The Are We,2,48959332.0,97918663.0
The Arrival,2,7024186.0,14048372.0
The Art of War,3,10066368.0,30199105.0
The August Underground,1,0.0,0.0
The Aum Shinrikyo,2,0.0,0.0
The Avengers,2,1462480802.0,2924961604.0
The BRD,3,0.0,0.0
The Bad New Bears,3,18142547.0,54427642.0
The Benji,4,0.0,0.0
The Best Man,2,53099488.0,106198975.0
The Bible,7,0.0,0.0
The Big Bottom Box,1,0.0,0.0
The Bill Douglas Trilogy,2,0.0,0.0
The Black Mask,1,0.0,0.0
The Black Stallion,2,23799822.0,47599643.0
The Blind Dead,3,0.0,0.0
The Blob,2,0.0,0.0
The Blue Lagoon collection,3,20553653.0,61660960.0
The Blues Brothers,2,64640637.0,129281274.0
The Boogeyman,3,22397620.0,67192859.0
The Boondock Saints,2,5329896.0,10659792.0
The Bourne,5,327483286.0,1637416431.0
The Bowery Boys,29,0.0,0.0
The Brady Bunch,2,0.0,0.0
The Brave Little Toaster,3,0.0,0.0
The Bremen Town Musicians (Collection),2,0.0,0.0
The Bride with White Hair,1,0.0,0.0
The Bridge,2,0.0,0.0
The Butterfly Effect,3,32020286.0,96060858.0
The Cabin Fever,3,10184465.0,30553394.0
The Carry On,25,0.0,0.0
The Cell,2,52077922.0,104155843.0
The Cheerleaders -,1,0.0,0.0
The Cheetah Girls,3,0.0,0.0
The Chronicles of Narnia,3,528048196.0,1584144587.0
The Chronicles of Riddick,4,66824422.0,267297687.0
The ChubbChubbs,1,0.0,0.0
The Collector,2,60421029.0,120842058.0
The Comedians Of Comedy,2,0.0,0.0
The Comics,3,0.0,0.0
The Complete Monterey Pop Festival,3,0.0,0.0
The Condemned,2,4321429.0,8642858.0
The Conjuring,2,319085074.0,638170149.0
The Cremaster Cycle,3,0.0,0.0
The Crimson Rivers,2,0.0,0.0
The Croods,1,585178928.0,585178928.0
The Crossing,2,0.0,0.0
The Crow,4,27979322.0,111917287.0
The Cutlass,1,0.0,0.0
The Cutting Edge,4,6276379.0,25105517.0
The Dark Knight,3,821238739.0,2463716216.0
The Dead,2,0.0,0.0
The Decline of Western Civilization,3,0.0,0.0
The Delta Force,3,8155754.0,24467261.0
The Dentist,2,0.0,0.0
The Descent,2,0.0,0.0
The Desert,1,0.0,0.0
The Devil's Carnival,1,0.0,0.0
The Dick Proenneke,4,0.0,0.0
The Dirty Dozen,4,11325000.0,45300000.0
The Disappearance Of Eleanor Rigby,3,328336.0,985007.0
The Discworld,5,0.0,0.0
The Doctor Series,4,0.0,0.0
The Dog Who Saved Christmas,1,0.0,0.0
The Dukes Of Hazzard,2,55401838.0,110803676.0
The Durango Kid,2,0.0,0.0
The Elusive Revengers,3,0.0,0.0
The Emigrants,2,0.0,0.0
The Emperor's New Groove,2,84663844.0,169327687.0
The Encounter,1,0.0,0.0
The Endless Summer,2,0.0,0.0
The Exorcist,5,117866324.0,589331619.0
The Expendables,3,264405454.0,793216361.0
The Exterminator,1,0.0,0.0
The Eye,5,11261953.0,56309766.0
The Falcon Series,2,0.0,0.0
The Falls,1,0.0,0.0
The Fast and the Furious,8,640637349.0,5125098793.0
The Female Prisoner Series,2,0.0,0.0
The Fjällbacka Murders,6,0.0,0.0
The Flicka,2,0.0,0.0
The Flintstones (Live-Action),2,200549742.0,401099483.0
The Fly (1958 series),3,1000000.0,3000000.0
The Fly,2,49766169.0,99532338.0
The Foreigner,2,0.0,0.0
The Four,1,0.0,0.0
The Fox and the Hound,2,14900000.0,29800000.0
The Frogtown,1,0.0,0.0
The Fugitive / U.S. Marshals,2,235621582.0,471243165.0
The Gamers,4,0.0,0.0
The Garden of Sinners,9,0.0,0.0
The Gate,2,0.0,0.0
The Gidget,2,0.0,0.0
The Gingerdead Man,3,0.0,0.0
The Godfather,3,143125105.0,429375314.0
The Gods Must Be Crazy,3,20000000.0,60000000.0
The Good Witch,3,0.0,0.0
The Gorky,2,0.0,0.0
The Gremlins,2,97282654.0,194565309.0
The Grudge,3,87076150.0,261228450.0
The Gruffalo,3,0.0,0.0
The Guyver,2,0.0,0.0
The Hamiltons,2,0.0,0.0
The Hangover,3,358575559.0,1075726677.0
The Hannibal Lecter Anthology,5,184884460.0,924422301.0
The Happy Hooker,2,0.0,0.0
The Haunting in Connecticut,2,38763866.0,77527732.0
The Heroic Trio,1,0.0,0.0
The Hills Have Eyes (Original),2,12500000.0,25000000.0
The Hills Have Eyes (Reboot),2,34811856.0,69623713.0
The Hire,9,0.0,0.0
The Hitcher (1986),2,2922434.0,5844868.0
The Hobbit,3,978507785.0,2935523356.0
The Hobgoblin,1,0.0,0.0
The Houses October Built,1,0.0,0.0
The Howling,7,2569413.0,17985893.0
The Human Centipede,3,0.0,0.0
The Human Condition,3,0.0,0.0
The Hunchback of Notre Dame,2,50069426.0,100138851.0
The Hunger Games,4,736040658.0,2944162634.0
The Hunters,2,0.0,0.0
The Huntsman,2,280601082.0,561202163.0
The Hustler,2,29946991.0,59893982.0
The Inbetweeners,2,44012890.0,88025781.0
The Incredible Hulk (TV Movie),3,0.0,0.0
The Incredibles,1,631442092.0,631442092.0
The Invisible Man (Universal Series),5,208000.0,1040000.0
The Jack Ryan,5,167337682.0,836688411.0
The Jake Gittes,2,20000000.0,40000000.0
The Jaws,4,199601519.0,798406075.0
The Joys of Torture Series,1,0.0,0.0
The Jungle Book,2,170761806.0,341523612.0
The Karate Kid,4,65175702.0,260702809.0
The Kingdom,2,0.0,0.0
The Klapisch Trilogy,3,9208367.0,27625100.0
The Krays,1,0.0,0.0
The Land Before Time,14,6032918.0,84460846.0
The Last Exorcism,2,41458696.0,82917392.0
The Last Picture Show,2,14566500.0,29133000.0
The Lawnmower Man,2,17255112.0,34510225.0
The Legend,2,3462290.0,6924581.0
The Lego Movie,2,390555538.0,781111076.0
The Librarian,3,0.0,0.0
The Lion King,4,197060444.0,788241776.0
The Little Mermaid,3,74100000.0,222300000.0
The Little Polar Bear,2,0.0,0.0
The Lone Ranger (Clayton Moore),2,0.0,0.0
The Lord of the Rings Animated,3,10157140.0,30471420.0
The Lord of the Rings,3,972181581.0,2916544743.0
The Lost Skeleton,2,0.0,0.0
The Love Comes Softly,10,0.0,0.0
The Magick Lantern Cycle,9,0.0,0.0
The Magnificent Seven,4,1226250.0,4905000.0
The Man From Snowy River,2,10329712.0,20659423.0
The Man With No Name,3,11833333.0,35500000.0
The Man from Earth,1,0.0,0.0
The Man from U.N.C.L.E.,3,0.0,0.0
The Man with the Iron Fists,2,7804272.0,15608545.0
The Mangler,1,0.0,0.0
The Marine,5,4433122.0,22165608.0
The Mark,1,0.0,0.0
The Mask,2,175791704.0,351583407.0
The Matrix,3,542368432.0,1627105295.0
The Matt Helm,3,6239375.0,18718124.0
The Maze Runner,2,329788394.0,659576787.0
The Mesrine,2,15527720.0,31055440.0
The Messengers,2,554830.0,1109660.0
The Mighty Ducks,3,39772615.0,119317844.0
The Millennium,3,71613014.0,214839043.0
The Modesty Blaise,1,0.0,0.0
The Moment After,2,0.0,0.0
The Monkey King,1,0.0,0.0
The Mummy (Hammer Series),4,0.0,0.0
The Mummy (Universal Series),5,0.0,0.0
The Mummy,3,416675800.0,1250027401.0
The Muppet,7,57160629.0,400124401.0
The Musketeers,3,0.0,0.0
The Nancy Drew (Bonita Granville),4,0.0,0.0
The Neverending Story,3,12147492.0,36442475.0
The Nigger Charley,1,0.0,0.0
The Nut Job,1,0.0,0.0
The Nutty Professor,2,126038645.0,252077290.0
The Odd Couple,2,22263617.0,44527234.0
The Olsen Gang,4,0.0,0.0
The Omen,4,26978179.0,107912717.0
The One-Armed Swordsman,3,0.0,0.0
The Orphic Trilogy,3,0.0,0.0
The Ouija Experiment,3,0.0,0.0
The Pact,2,0.0,0.0
The Paleface,2,0.0,0.0
The Party,2,0.0,0.0
The Philadelphia Experiment - Collezione,3,990.0,2970.0
The Pink Panther (Original),9,18275361.0,164478248.0
The Pink Panther (Steve Martin),2,37935516.0,75871032.0
The Poseidon Adventure,2,42281559.0,84563118.0
The Postman,1,17626234.0,17626234.0
The President's Man,2,0.0,0.0
The Prince & Me,3,0.0,0.0
The Princess Diaries,2,130242294.0,260484588.0
The Prophecy,4,4.0,16.0
The Prostitute Trilogy,1,0.0,0.0
The Protector,2,15234022.0,30468044.0
The Pub Landlord,1,0.0,0.0
The Purge,3,105566451.0,316699354.0
The Raid,2,3366198.0,6732396.0
The Reef,1,0.0,0.0
The Rescuers,2,59323665.0,118647330.0
The Riffs Trilogy,2,0.0,0.0
The Ring,3,164627120.0,493881361.0
The Rutles,2,0.0,0.0
The Sabata,3,0.0,0.0
The Saint,2,59031652.0,118063304.0
The Sally Lochhart Mysteries,1,0.0,0.0
The Sandlot,3,10805529.0,32416586.0
The Santa Clause,3,149062848.0,447188544.0
The Scorpion King,4,41333295.0,165333180.0
The Secret Garden,2,0.0,0.0
The Secret Life of Pets,1,875457937.0,875457937.0
The Secret Of NIMH,2,7332866.0,14665733.0
The Sentimental Swordsman,2,0.0,0.0
The Shadow,2,24031718.0,48063435.0
The Shaggy Dog,2,0.0,0.0
The Sheriff and the Satellite Kid,2,0.0,0.0
The Sinbad,4,6750000.0,27000000.0
The Sister Street Fighter,1,0.0,0.0
The Sisterhood of the Traveling Pants,2,41702739.0,83405478.0
The Six Million Dollar Man,1,0.0,0.0
The Skulls,3,11669060.0,35007180.0
The Slumber Party Massacre,3,0.0,0.0
The Smurfs (Theatrical),3,369455682.0,1108367047.0
The Snowman,1,0.0,0.0
The Sorority House Massacre,2,0.0,0.0
The South Shaolin Master,1,0.0,0.0
The Space Odyssey Series,2,54550328.0,109100657.0
The Spiders Serial,2,0.0,0.0
The Spiritual Boxer,1,0.0,0.0
The Stepfather,2,759898.0,1519796.0
The Sting,2,82981700.0,165963399.0
The Storm Riders,1,0.0,0.0
The Streetfighter,2,0.0,0.0
The Substitute,3,0.0,0.0
The Sweeney,1,0.0,0.0
The Tall Blond Man,2,0.0,0.0
The Terminator,5,369065548.0,1845327738.0
The Thin Man,6,237167.0,1423000.0
The Thing,2,23879215.0,47758430.0
The Three Brothers,2,0.0,0.0
The Three Mothers,3,18316.0,54947.0
The Toxic Avenger,4,0.0,0.0
The Transporter,4,77676448.0,310705790.0
The Trip,3,317060.0,951179.0
The Twilight,5,668421458.0,3342107290.0
The Twins Effect,2,0.0,0.0
The Ultimate,2,0.0,0.0
The Under-Gifted,1,0.0,0.0
The Underdog Knight,2,0.0,0.0
The Up Series,8,29759.0,238073.0
The Vampire Chronicles,2,134571859.0,269143718.0
The Vengeance,3,13579417.0,40738250.0
The Visitors,4,0.0,0.0
The War of Flower,2,0.0,0.0
The Water of the Hills,1,0.0,0.0
The Water of the Hills,2,0.0,0.0
The Waxwork,1,808114.0,808114.0
The Whistler collection,4,0.0,0.0
The Whole Nine/Ten Yards,2,66263716.0,132527432.0
The Wild Geese,2,0.0,0.0
The Wixxer Trilogy,1,0.0,0.0
The Wog Boy,2,0.0,0.0
The Wolf Man (Universal Series),4,0.0,0.0
The Wolverine,3,468435115.0,1405305345.0
The Woman in Black,2,77116030.0,154232059.0
The Work and the Glory,3,2232590.0,6697771.0
The Worricker,3,0.0,0.0
The X-Files,2,128783874.0,257567747.0
The Yakuza Papers,5,0.0,0.0
The Yes Men,3,0.0,0.0
Thermae Romae,1,0.0,0.0
They Call Me Bruce,1,16894678.0,16894678.0
Think Like a Man,2,83125968.0,166251935.0
This is England,1,8176544.0,8176544.0
Thor,3,364632673.0,1093898020.0
Thou Shalt Laugh,3,0.0,0.0
Three Colors,3,0.0,0.0
Three Heroes,5,4841802.0,24209008.0
Three Steps Above Heaven,2,0.0,0.0
Thumbs!,2,0.0,0.0
Thunder in Paradise,1,0.0,0.0
Thunderbirds (Animation),2,0.0,0.0
Till Luck Do Us Part,1,1672940.0,1672940.0
Timecop,2,50823290.0,101646581.0
Tinker Bell,6,3383333.0,20300000.0
Tiny Times,3,42.0,126.0
"To Sir, with Love",2,0.0,0.0
Tognazzi & Vianello,2,0.0,0.0
Tokyo Decadence series,1,0.0,0.0
Tom Thorne,2,0.0,0.0
Tom and Jerry,10,0.0,0.0
Tomb Raider,2,215604364.0,431208728.0
Tomie,1,0.0,0.0
Tomtar och Trolltyg,1,0.0,0.0
Tooth Fairy,2,56231254.0,112462508.0
Topper,3,0.0,0.0
Torchy Blane,2,0.0,0.0
Torrente,5,2334473.0,11672363.0
Totò,27,0.0,0.0
Toy Story,3,645963535.0,1937890605.0
Trailer Park Boys,6,638918.0,3833507.0
Trainspotting,2,28951894.0,57903789.0
Trancers,4,0.0,0.0
Transformers,5,873220249.0,4366101244.0
Trapped in the Closet,2,0.0,0.0
Tremors,5,9714400.0,48572000.0
Trilogia Zé do Caixão,3,0.0,0.0
Trilogie,3,0.0,0.0
Trilogy Marseillaise,2,0.0,0.0
Trilogy of Life,3,0.0,0.0
Trilogy of Terror,2,0.0,0.0
Trilogía Sollima,2,0.0,0.0
Trilogía de la violencia de Michael Haneke,3,0.0,0.0
Trinità ,1,0.0,0.0
Troll,3,1816938.0,5450815.0
Truth in 24,1,0.0,0.0
Trylogia Sienkiewicza,2,0.0,0.0
Tulse Luper,1,25800.0,25800.0
Turbulence,2,5733044.0,11466088.0
Turkish Star Wars,1,0.0,0.0
Twitches,2,0.0,0.0
Täällä Pohjantähden alla (Timo Koivusalo),2,0.0,0.0
U Pana Boga,1,0.0,0.0
USA: Land of Opportunities,2,8677877.0,17355754.0
Ukraine Trilogy,3,0.0,0.0
Ultimate Avengers,2,7300000.0,14600000.0
Umizaru,1,0.0,0.0
Un éléphant ça trompe énormément,2,0.0,0.0
Under Siege,2,130443611.0,260887222.0
Underworld,5,107921749.0,539608743.0
Undisputed,4,3099657.0,12398628.0
Universal Soldier,6,2157598.0,12945586.0
Unna Trilogie,2,0.0,0.0
Unoffical Ghosthouse Series,3,0.0,0.0
Unstable Fables,2,0.0,0.0
Ur kärlekens språk,1,0.0,0.0
Urban Legend,3,37033986.0,111101957.0
Uuno Turhapuro,15,0.0,0.0
V/H/S,3,41645.0,124934.0
V: The,2,0.0,0.0
Vabank (Collection),3,0.0,0.0
Vacancy,2,17650322.0,35300645.0
Vai Que Dá Certo,1,0.0,0.0
Valami Amerika gyűjtemény,1,0.0,0.0
Vampire Boys,1,0.0,0.0
Vampire Hunter D,2,0.0,0.0
Vampire Karnstein (Hammer series),3,0.0,0.0
Vampires,2,0.0,0.0
Vampires Suck,2,40273933.0,80547866.0
Van Helsing,2,150128738.0,300257475.0
Vares,8,0.0,0.0
Varg Veum,3,0.0,0.0
Vi hade i alla fall tur med vädret,1,0.0,0.0
Vixens,4,1500000.0,6000000.0
Viy,1,34592118.0,34592118.0
Vääpeli Körmy -,5,0.0,0.0
Waiting,2,9318845.0,18637690.0
Waldemar Daninsky,1,0.0,0.0
Walking Tall,3,19074630.0,57223890.0
Walking Tall Original,2,0.0,0.0
Wall Street,2,89298045.0,178596090.0
Wallace & Gromit,6,32075472.0,192452832.0
Wallander (Rolf Lassgård),2,0.0,0.0
Wanted -,1,258270008.0,258270008.0
War Trilogy,3,0.0,0.0
War of the Worlds,2,0.0,0.0
WarGames,2,39783834.0,79567667.0
Warlock,3,0.0,0.0
Warriors of Virtue,1,0.0,0.0
Warriors of the Rainbow: The Seediq Bale Saga,1,0.0,0.0
Wayne's World,2,84831162.0,169662323.0
We Are From The Future,2,4455410.0,8910819.0
We Were Here,2,0.0,0.0
We're the Millers,1,269994119.0,269994119.0
Weekend at Bernie's,2,15109194.0,30218387.0
Welcome,1,36500000.0,36500000.0
Werner,4,0.0,0.0
Westworld,2,0.0,0.0
What the Bleep!,2,5069456.0,10138913.0
When a Stranger Calls,3,22322329.0,66966987.0
Whispering Corridors,3,0.0,0.0
Whistling,3,0.0,0.0
White Collar Hooligan,1,0.0,0.0
White Crane Chronicles,1,0.0,0.0
White Fang,2,17396580.0,34793160.0
White Noise,2,45598210.0,91196419.0
Why Did I Get Married,2,57628658.0,115257317.0
Why We Fight,8,0.0,0.0
Wild Orchid,1,0.0,0.0
Wild Things,3,22400000.0,67200000.0
Willard,3,0.0,0.0
Winnetou,2,0.0,0.0
Winnie-the-Pooh (Russian),3,0.0,0.0
Wishmaster,4,3929777.0,15719109.0
Witch Mountain,3,12131000.0,36393000.0
Witchboard,3,56060.0,168180.0
Witchcraft,2,0.0,0.0
Without a Paddle,2,34815559.0,69631118.0
Wizards of Waverly Place,2,0.0,0.0
Wodehouse P.G.,1,0.0,0.0
Wolf Creek,2,18696546.0,37393092.0
Wolf Warriors,1,80000000.0,80000000.0
Wonder Woman,1,820580447.0,820580447.0
Wong Kar-Wai's Informal,3,10756043.0,32268129.0
World War Z,1,531865000.0,531865000.0
World of Watches,2,35431358.0,70862717.0
Would I Lie to You?,3,37693661.0,113080982.0
Wreck-It Ralph,1,471222889.0,471222889.0
Wrong Turn,6,4775096.0,28650575.0
X-Men,6,468138720.0,2808832317.0
Xtro,3,0.0,0.0
Yamakasi -,1,0.0,0.0
Yamla Pagla Deewana,1,0.0,0.0
Yossi,2,58104.0,116207.0
You Got Served,1,0.0,0.0
Young And Dangerous,1,0.0,0.0
Young Guns,2,22363322.0,44726644.0
Zanna Bianca,1,0.0,0.0
Zapped,2,0.0,0.0
Zatôichi: The Blind Swordsman,26,0.0,0.0
Zebraman,1,0.0,0.0
Zeitgeist,3,0.0,0.0
Zenon,3,0.0,0.0
Zero Woman,1,0.0,0.0
Zipi y Zape - Colección,1,0.0,0.0
Zombi,1,0.0,0.0
Zoolander,2,58374990.0,116749981.0
Zorro,3,130896196.0,392688588.0
Zu Warriors,1,0.0,0.0
[REC],4,14816420.0,59265680.0
xXx,3,231556657.0,694669972.0
Åsa-Nisse,1,0.0,0.0
Çalgı Çengi,1,0.0,0.0
Şevkat Yerimdar Serisi,1,0.0,0.0
Алиса в стране чудес (Коллекция),1,0.0,0.0
Горько! (Коллекция),1,0.0,0.0
ДухLess (Коллекция),2,6609490.0,13218980.0
Зимняя Вишня (трилогия),1,0.0,0.0
Ирония судьбы (Коллекция),2,27817518.0,55635037.0
Никто не знает про секс - Коллекция,1,0.0,0.0
Облако-рай (Коллекция),2,0.0,0.0
Параграф 78 - Дилогия,1,0.0,0.0
Самый лучший фильм - Коллекция,3,3272111.0,9816332.0
Сказки Чуковского,1,0.0,0.0
Чебурашка и крокодил Гена,1,0.0,0.0
Что Творят мужчины! (Коллекция),2,0.0,0.0
男はつらいよ シリーズ,3,0.0,0.0
식객 시리즈,2,0.0,0.0
